Reference,Value,Datasheet,Footprint,Qty,DNP,Manufacturer,Manufacturer Part,Distributor Link
"J202,J302,J402",RF2-04A-T-00-50-G,RF2-04A-T-00-50-G,CONN_RF2-04A-T-00-50-G_ADM,3,,Adam Tech ,RF2-04A-T-00-50-G ,https://www.digikey.ca/en/products/detail/adam-tech/RF2-04A-T-00-50-G/9830588 
"HS1,HS2,HS3",Heatsink,~,V6560Y:V6560Y,3,,Assmann WSW Components,V6560Y,https://www.digikey.ca/en/products/detail/assmann-wsw-components/v6560y/3511467
"R209,R309,R409",1k,~,Resistor_SMD:R_0805_2012Metric,3,,Bourns Inc. ,CR0805-JW-102ELF ,https://www.digikey.ca/en/products/detail/bourns-inc/CR0805-JW-102ELF/3593156 
"R213,R313,R413",10R,~,Resistor_SMD:R_0805_2012Metric,3,,Bourns Inc. ,CR0805AFX-10R0EAS ,https://www.digikey.ca/en/products/detail/bourns-inc/CR0805AFX-10R0EAS/10240125 
"J201,J301,J401",Conn_01x10_Pin,~,Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical,3,,Harwin Inc. ,M22-2511005 ,https://www.digikey.ca/en/products/detail/harwin-inc/M22-2511005/2264297 
"C202,C302,C402",10n,~,Capacitor_SMD:C_0805_2012Metric,3,,KEMET ,C0805C103F5GECAUTO ,https://www.digikey.ca/en/products/detail/kemet/C0805C103F5GECAUTO/8647276 
"C203,C204,C208,C209,C303,C304,C308,C309,C403,C404,C408,C409",100n,~,Capacitor_SMD:C_0805_2012Metric,12,,KEMET ,C0805C104K5RACTU ,https://www.digikey.ca/en/products/detail/kemet/C0805C104K5RAC7800/411169 
"C210,C310,C410",4.7n,~,Capacitor_SMD:C_0805_2012Metric,3,,KEMET ,C0805C472KDRACAUTO ,https://www.digikey.ca/en/products/detail/kemet/C0805C472KDRACAUTO/8109840 
"C207,C307,C407",68p,~,Capacitor_SMD:C_0805_2012Metric,3,,KEMET ,C0805C680K5GACTU ,https://www.digikey.ca/en/products/detail/kemet/C0805C680K5GAC7800/2213073 
"D101,D102",D,~,Diode_THT:DO-41_DIO,2,,onsemi ,1N4001RLG ,https://www.digikey.ca/en/products/detail/onsemi/1N4001RLG/917621 
"C201,C301,C401",47u,~,Capacitor_SMD:CAP_EEFC_E_PAN,3,,Panasonic Electronic Components,EEE-FC1E470P,https://www.digikey.ca/en/products/detail/panasonic-electronic-components/EEE-FC1E470P/817417
"C205,C206,C305,C306,C405,C406",470u,~,Capacitor_THT:CAP_ZSU_G12_PAN,6,,Panasonic Electronic Components ,EEH-ZS1E471P ,https://www.digikey.ca/en/products/detail/panasonic-electronic-components/EEH-ZS1E471P/12550087 
"R212,R312,R412",15k,~,Resistor_SMD:R_0805_2012Metric,3,,Rohm Semiconductor ,ESR10EZPJ153 ,https://www.digikey.ca/en/products/detail/rohm-semiconductor/ESR10EZPJ153/4051313 
"C101,C102",100uF 50V,50YXJ100MT78X11.5,Capacitor_THT:CAP_YX_8X11P5_RUB,2,,Rubycon,50YXJ100MT78X11.5,https://www.digikey.ca/en/products/detail/rubycon/50YXJ100MT78X11-5/3134938
"RV201,RV301,RV401",10k,~,Potentiometer_THT:TRIM_COM-09806,3,,SparkFun Electronics ,COM-09806 ,https://www.digikey.ca/en/products/detail/sparkfun-electronics/COM-09806/7319606?s=N4IgTCBcDaIMIHkCyBaADATgBxoGwgF0BfIA 
"R210,R211,R310,R311,R410,R411",5k,~,Resistor_SMD:R_0805_2012Metric,6,,TE Connectivity Passive Product ,RLC73K2A1R0FTD ,https://www.digikey.ca/en/products/detail/te-connectivity-passive-product/RLC73K2A1R0FTD/19238956 
"U202,U302,U402",DAC0800LCM,DAC0800LCM,M16A_TEX,3,,Texas Instruments ,DAC0800LCM/NOPB ,https://www.digikey.ca/en/products/detail/texas-instruments/DAC0800LCM-NOPB/182304 
"U201,U301,U401",TL431AIDBZR,TL431AIDBZR,DBZ0003A_N,3,,Texas Instruments ,TL431AIDBZR ,https://www.digikey.ca/en/products/detail/texas-instruments/TL431AIDBZR/686856 
"R201,R202,R203,R204,R205,R206,R207,R208,R301,R302,R303,R304,R305,R306,R307,R308,R401,R402,R403,R404,R405,R406,R407,R408",100R,~,Resistor_SMD:R_0805_2012Metric,24,,Vishay Dale,CRCW0805100RJNEC ,https://www.digikey.ca/en/products/detail/vishay-dale/CRCW0805100RJNEC/5073580 
J101,Conn_01x03_Pin,~,CONN_39880-0303_MOL,1,,Molex,398800303,https://www.digikey.ca/en/products/detail/molex/0398800303/2741452
"U203,U303,U403",LM1857 ,~,Package_TO_SOT_THT:TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical,3,,Texas Instruments ,LM1875T/NOPB ,https://www.digikey.com/en/products/detail/texas-instruments/LM1875T-NOPB/1669 
